,COURTNEY RUBY,MICHAEL KILIAN,writeIns
first_choice,66.92,31.84,1.23
COURTNEY RUBY,,95.92,41.03
MICHAEL KILIAN,97.09,,58.97
writeIns,2.91,4.08,
