,Carol Kummer,Dan W. Peterson,Jason Stone,McClain Looney,Steve Barland,writeIns
first_choice,37.77,4.70,35.52,1.92,19.64,0.45
Carol Kummer,,38.46,49.42,31.18,52.88,33.33
Dan W. Peterson,12.85,,5.01,23.66,8.65,0.00
Jason Stone,31.13,28.85,,25.81,34.51,66.67
McClain Looney,7.50,8.65,3.60,,3.63,0.00
Steve Barland,48.14,23.56,41.45,16.13,,0.00
writeIns,0.38,0.48,0.51,3.23,0.32,
