,Blong Yang,Cathy Spann,Jeremiah Ellison,Raeisha (RA) Williams,writeIns
first_choice,38.35,3.77,47.13,10.56,0.19
Blong Yang,,27.04,29.59,19.33,0.00
Cathy Spann,13.17,,10.27,11.46,0.00
Jeremiah Ellison,35.68,33.33,,49.44,12.50
Raeisha (RA) Williams,12.31,20.13,38.65,,0.00
writeIns,0.49,0.63,0.30,0.00,
exhaust,38.34,18.87,21.19,19.78,87.50
