,ANDREW ''ELLARD'' RESIGNATO,CHRISTINA OLAGUE,DANIEL EVERETT,HOPE JOHNSON,JOHN RIZZO,JULIAN DAVIS,LONDON BREED,THEA SELBY
first_choice,2.22,19.79,3.74,1.39,16.17,15.20,28.00,13.48
ANDREW ''ELLARD'' RESIGNATO,,2.39,5.17,10.00,2.48,3.50,4.15,5.11
CHRISTINA OLAGUE,8.44,,13.92,10.82,14.52,22.63,17.27,11.86
DANIEL EVERETT,7.80,3.85,,11.63,4.82,5.07,4.36,5.17
HOPE JOHNSON,7.80,2.46,4.79,,1.55,3.01,2.88,5.07
JOHN RIZZO,12.92,19.71,14.75,11.02,,21.96,13.22,23.03
JULIAN DAVIS,13.81,19.09,14.60,12.04,15.63,,15.67,12.64
LONDON BREED,21.61,20.82,17.95,12.04,11.42,17.99,,21.61
THEA SELBY,16.37,13.00,12.02,21.02,39.49,12.34,16.78,
exhaust,11.25,18.68,16.81,11.43,10.10,13.50,25.69,15.51
