,FRED DODSWORTH,ISABELLE GASTON,SUSAN WENGRAF
first_choice,29.15,12.45,58.40
FRED DODSWORTH,,50.70,60.38
ISABELLE GASTON,51.48,,39.62
SUSAN WENGRAF,48.52,49.30,
