,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES,writeIns
first_choice,25.57,46.79,26.78,0.85
BENJAMIN LANG,,46.88,49.84,26.83
JUMOKE HINTON HODGE,50.34,,48.58,39.02
RICHARD FUENTES,48.33,52.20,,34.15
writeIns,1.33,0.92,1.58,
