,AIDAN HILL,CECILIA ''CES'' ROSALES,RIGEL ROBINSON
first_choice,9.05,34.44,56.52
AIDAN HILL,,16.34,18.53
CECILIA ''CES'' ROSALES,33.86,,60.49
RIGEL ROBINSON,54.33,66.91,
exhaust,11.81,16.75,20.98
