,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
first_choice,5.71,45.58,2.37,46.33
"Bond, Tiffany L.",,66.77,55.61,34.61
"DEM Golden, Jared F.",39.94,,25.53,21.19
"Hoar, William R.S.",46.58,23.06,,44.20
"REP Poliquin, Bruce",13.48,10.17,18.86,
