,BARBARA PARKER,JANE BRUNNER,writeIns
first_choice,68.43,30.76,0.81
BARBARA PARKER,,55.82,15.67
JANE BRUNNER,42.12,,8.35
writeIns,1.96,1.60,
exhaust,55.92,42.58,75.98
