,CORINA N. LOPEZ,MAXINE OLIVER-BENSON
first_choice,16415.00,6875.00
CORINA N. LOPEZ,,4075.00
MAXINE OLIVER-BENSON,9100.00,
exhaust,7315.00,2800.00
