,"Cote, Adam Roland","Dion, Donna J.","Dion, Mark N.","Eves, Mark W.","Mills, Janet T.","Russell, Diane Marie","Sweet, Elizabeth A.",writeIns
first_choice,28.13,1.27,4.12,14.18,33.09,2.16,16.46,0.59
"Cote, Adam Roland",,18.73,19.75,22.99,23.80,10.74,17.56,9.22
"Dion, Donna J.",4.10,,5.75,1.46,2.39,5.76,2.91,2.54
"Dion, Mark N.",9.14,14.85,,5.50,8.72,10.15,4.82,3.88
"Eves, Mark W.",24.14,8.33,15.90,,22.65,13.23,30.60,4.14
"Mills, Janet T.",29.58,18.42,24.13,27.16,,15.36,26.20,9.36
"Russell, Diane Marie",2.00,7.89,6.37,2.85,3.47,,10.17,1.47
"Sweet, Elizabeth A.",16.89,11.47,12.29,33.18,23.19,36.69,,7.22
writeIns,0.15,0.38,0.12,0.10,0.11,0.15,0.14,
exhaust,13.99,19.92,15.69,6.76,15.66,7.92,7.60,62.17
