,ANNIE CAMPBELL WASHINGTON,JILL BROADHURST,PAUL LIM
first_choice,11358.00,5335.00,1011.00
ANNIE CAMPBELL WASHINGTON,,2942.00,274.00
JILL BROADHURST,5872.00,,413.00
PAUL LIM,1476.00,997.00,
exhaust,4010.00,1396.00,324.00
