,ELLEN LEE ZHOU,JOEL VENTRESCA,LONDON N. BREED,MARC ROTH,PAUL YBARRA ROBERTSON,"ROBERT L. JORDAN, JR.",WILMA PANG,writeIns
first_choice,13.92,7.39,70.29,0.00,4.26,1.37,2.76,0.00
ELLEN LEE ZHOU,,19.09,34.02,0.00,28.62,15.38,37.29,0.00
JOEL VENTRESCA,13.80,,28.10,50.00,28.62,16.76,18.25,100.00
LONDON N. BREED,28.65,36.24,,16.67,17.74,17.42,15.44,0.00
MARC ROTH,0.01,0.02,0.00,,0.00,0.00,0.03,0.00
PAUL YBARRA ROBERTSON,21.07,18.74,16.46,0.00,,33.42,15.14,0.00
"ROBERT L. JORDAN, JR.",5.80,7.00,8.32,16.67,12.84,,13.86,0.00
WILMA PANG,30.68,18.90,13.09,16.67,12.18,17.02,,0.00
writeIns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
