,Jan Shabro,Julie Anderson,Will Baker,writeIns
first_choice,41.26,49.92,8.45,0.38
Jan Shabro,,71.02,30.86,26.52
Julie Anderson,81.88,,68.04,49.24
Will Baker,17.15,28.22,,24.24
writeIns,0.97,0.76,1.10,
