,BRIAN V. HULET,CARY KENNETH STOCKWELL,DOUG WELTON,LINDA CARTER,SCOTT PINKHAM
first_choice,22.99,7.85,38.77,25.20,5.20
BRIAN V. HULET,,14.29,46.77,34.72,26.62
CARY KENNETH STOCKWELL,7.48,,12.83,15.73,21.58
DOUG WELTON,46.50,37.14,,39.61,29.50
LINDA CARTER,29.11,22.38,27.29,,15.11
SCOTT PINKHAM,8.46,23.81,8.00,5.64,
exhaust,8.46,2.38,5.11,4.30,7.19
