,ALEX MILLER-COLE,DERRICK MUHAMMAD,"LARRY LIONEL YOUNG, JR.",LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,SEAN SULLIVAN,writeIns
first_choice,9.07,14.27,8.87,23.57,17.68,25.96,0.60
ALEX MILLER-COLE,,4.89,6.07,8.14,11.32,17.19,5.30
DERRICK MUHAMMAD,8.94,,18.12,11.93,14.57,11.45,0.76
"LARRY LIONEL YOUNG, JR.",5.89,9.96,,8.47,9.17,7.04,4.55
LYNETTE GIBSON-MCELHANEY,19.52,19.07,15.01,,30.52,26.97,4.55
NYEISHA DEWITT,20.77,33.25,17.87,30.21,,14.59,3.79
SEAN SULLIVAN,21.42,11.33,20.16,23.56,11.83,,2.27
writeIns,0.70,0.25,0.31,0.36,0.31,0.40,
exhaust,22.77,21.26,22.46,17.32,22.30,22.35,78.79
