,CHERI SPIGNER,KARL DEBRO,NINA SENN,SALEEM SHAKIR-GILMORE
first_choice,8.13,32.98,38.36,20.54
CHERI SPIGNER,,8.71,11.63,10.12
KARL DEBRO,25.42,,34.14,35.37
NINA SENN,27.02,35.06,,32.29
SALEEM SHAKIR-GILMORE,18.78,27.56,29.55,
exhaust,28.78,28.67,24.68,22.23
