,"DAVID L. ANDERSON, SR.",DEBORAH COX,KENNETH PON,MIKE KATZ-LACABE
first_choice,13.26,42.42,21.79,22.53
"DAVID L. ANDERSON, SR.",,15.71,12.96,12.39
DEBORAH COX,28.91,,41.13,38.74
KENNETH PON,20.46,27.32,,25.69
MIKE KATZ-LACABE,16.60,28.51,20.12,
exhaust,34.03,28.46,25.79,23.19
