,BEN GOULD,GREGORY MAGOFNA,KATE HARRISON
first_choice,34.97,12.19,52.84
BEN GOULD,,62.82,47.27
GREGORY MAGOFNA,40.86,,21.06
KATE HARRISON,44.98,27.89,
exhaust,14.16,9.30,31.67
