,C01,C02,C03,C04,C05,C06
first_choice,1.22,26.68,38.95,31.77,0.58,0.80
C01,,10.96,5.17,3.51,15.79,8.97
C02,25.21,,18.59,21.22,15.79,24.36
C03,23.53,25.87,,54.51,31.58,37.18
C04,15.13,27.56,55.42,,28.07,15.38
C05,7.56,3.95,6.62,2.83,,3.85
C06,1.68,2.18,2.26,0.61,0.00,
exhaust,26.89,29.47,11.95,17.32,8.77,10.26
