,BENNY LEE,CHRIS CROW,DARLENE DAEVU,JUSTIN HUTCHISON,writeIns
first_choice,44.13,24.43,20.00,10.46,0.98
BENNY LEE,,25.29,32.76,21.16,5.26
CHRIS CROW,25.76,,27.05,28.06,3.07
DARLENE DAEVU,31.15,29.12,,26.58,6.58
JUSTIN HUTCHISON,13.87,21.03,17.40,,3.95
writeIns,0.56,0.47,0.52,0.49,
exhaust,28.65,24.09,22.28,23.71,81.14
