,MIKE HUTCHINSON,ROSIE TORRES,writeIns
first_choice,44.85,54.40,0.75
MIKE HUTCHINSON,,44.98,9.64
ROSIE TORRES,51.70,,10.84
writeIns,1.60,1.98,
exhaust,46.71,53.04,79.52
