,ANTHONY Di DONATO,JASPER KINGETER,LINDA MAIO,MERRILIE MITCHELL,writeIns
first_choice,192.00,1278.00,3735.00,476.00,19.00
ANTHONY Di DONATO,,99.00,206.00,60.00,0.00
JASPER KINGETER,66.00,,1130.00,208.00,0.00
LINDA MAIO,43.00,473.00,,153.00,0.00
MERRILIE MITCHELL,39.00,458.00,662.00,,1.00
writeIns,2.00,4.00,7.00,2.00,
exhaust,42.00,244.00,1730.00,53.00,18.00
