,CHESA BOUDIN,LEIF DAUTCH,NANCY TUNG,SUZY LOFTUS,writeIns
first_choice,35.61,13.99,19.33,31.06,0.00
CHESA BOUDIN,,17.55,14.61,17.68,0.00
LEIF DAUTCH,18.16,,32.03,19.73,0.00
NANCY TUNG,11.82,34.32,,19.24,0.00
SUZY LOFTUS,21.64,24.05,22.69,,0.00
writeIns,0.00,0.00,0.00,0.00,
exhaust,48.38,24.08,30.67,43.34,100.00
