,COURTNEY RUBY,MICHAEL KILIAN,writeIns
first_choice,65335.00,31086.00,1204.00
COURTNEY RUBY,,19671.00,199.00
MICHAEL KILIAN,36344.00,,286.00
writeIns,1089.00,837.00,
exhaust,27902.00,10578.00,719.00
