,ALICE A. SPEARMAN,JAMES HARRIS,writeIns
first_choice,42.29,56.61,1.09
ALICE A. SPEARMAN,,96.25,33.33
JAMES HARRIS,96.62,,66.67
writeIns,3.38,3.75,
