,CAROL LIBBRECHT,"DAVID L. ANDERSON, SR.",MICHAEL J. GREGORY,writeIns
first_choice,0.60,33.64,65.01,0.76
CAROL LIBBRECHT,,0.39,0.12,0.00
"DAVID L. ANDERSON, SR.",63.53,,97.62,53.06
MICHAEL J. GREGORY,36.47,93.78,,46.94
writeIns,0.00,5.82,2.27,
