,"Cronin, Fran Albin","Fantini, Alfred B.","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Osborne, Mervan F.",writeIns
first_choice,1832.00,2859.00,1126.00,2359.00,589.00,494.00,2102.00,3921.00,1238.00,72.00
"Cronin, Fran Albin",,131.00,153.00,82.00,48.00,46.00,319.00,447.00,178.00,1.00
"Fantini, Alfred B.",159.00,,90.00,456.00,104.00,38.00,129.00,375.00,134.00,1.00
"Gerber, Joyce C.",251.00,171.00,,88.00,45.00,26.00,172.00,507.00,68.00,1.00
"Harding, Jr., Richard",97.00,730.00,84.00,,47.00,86.00,205.00,436.00,161.00,3.00
"Holland, John J.",60.00,216.00,87.00,68.00,,32.00,79.00,128.00,17.00,1.00
"Kadete, Elechi M.",76.00,67.00,35.00,119.00,57.00,,112.00,111.00,62.00,0.00
"Kelly, Kathleen M.",283.00,204.00,154.00,211.00,47.00,73.00,,522.00,138.00,4.00
"Nolan, Patricia M.",426.00,417.00,337.00,461.00,90.00,62.00,542.00,,301.00,4.00
"Osborne, Mervan F.",192.00,134.00,70.00,259.00,22.00,57.00,199.00,739.00,,1.00
writeIns,4.00,3.00,3.00,6.00,0.00,0.00,1.00,12.00,2.00,
exhaust,284.00,786.00,113.00,609.00,129.00,74.00,344.00,644.00,177.00,56.00
