,David A. Alvarado,Gregg A Iverson,John Quincy,writeIns
first_choice,704.00,734.00,2551.00,21.00
David A. Alvarado,,30.00,74.00,0.00
Gregg A Iverson,80.00,,1303.00,1.00
John Quincy,93.00,532.00,,7.00
writeIns,17.00,1.00,5.00,
exhaust,514.00,171.00,1169.00,13.00
