,Abdi Warsame,Fadumo Yusuf,Mohamud Noor,Tiffini Forslund,writeIns
first_choice,50.17,2.53,46.86,0.08,0.36
Abdi Warsame,,42.53,85.28,0.00,28.57
Fadumo Yusuf,11.97,,12.74,20.00,0.00
Mohamud Noor,87.00,49.43,,80.00,71.43
Tiffini Forslund,0.00,0.00,0.15,,0.00
writeIns,1.03,8.05,1.83,0.00,
