,CHERYL DAVILA,DARRYL MOORE,NANCI IRA ARMSTRONG-TEMPLE
first_choice,2215.00,2837.00,2086.00
CHERYL DAVILA,,1032.00,1236.00
DARRYL MOORE,555.00,,446.00
NANCI IRA ARMSTRONG-TEMPLE,1229.00,767.00,
exhaust,431.00,1038.00,404.00
