,ALEX MILLER-COLE,DERRICK MUHAMMAD,"LARRY LIONEL YOUNG, JR.",LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,SEAN SULLIVAN,writeIns
first_choice,2003.00,3152.00,1959.00,5207.00,3906.00,5736.00,132.00
ALEX MILLER-COLE,,154.00,119.00,424.00,442.00,986.00,7.00
DERRICK MUHAMMAD,179.00,,355.00,621.00,569.00,657.00,1.00
"LARRY LIONEL YOUNG, JR.",118.00,314.00,,441.00,358.00,404.00,6.00
LYNETTE GIBSON-MCELHANEY,391.00,601.00,294.00,,1192.00,1547.00,6.00
NYEISHA DEWITT,416.00,1048.00,350.00,1573.00,,837.00,5.00
SEAN SULLIVAN,429.00,357.00,395.00,1227.00,462.00,,3.00
writeIns,14.00,8.00,6.00,19.00,12.00,23.00,
exhaust,456.00,670.00,440.00,902.00,871.00,1282.00,104.00
