,Jono Cowgill,Tom Nordyke,writeIns
first_choice,50.28,48.95,0.77
Jono Cowgill,,41.84,10.58
Tom Nordyke,47.57,,4.81
writeIns,1.28,0.95,
exhaust,51.15,57.20,84.62
