,CLINTON KILLIAN,DANIEL SWAFFORD,JASON GILLEN,JILL BROADHURST,LIBBY SCHAAF,MELANIE SHELBY,RALPH KANZ,writeIns
first_choice,1138.00,2348.00,530.00,4807.00,8756.00,2463.00,883.00,69.00
CLINTON KILLIAN,,143.00,59.00,362.00,619.00,554.00,60.00,5.00
DANIEL SWAFFORD,105.00,,93.00,411.00,1767.00,218.00,284.00,3.00
JASON GILLEN,87.00,139.00,,158.00,240.00,132.00,36.00,1.00
JILL BROADHURST,184.00,412.00,68.00,,3013.00,403.00,165.00,2.00
LIBBY SCHAAF,206.00,809.00,77.00,1840.00,,484.00,147.00,2.00
MELANIE SHELBY,285.00,268.00,86.00,614.00,985.00,,84.00,3.00
RALPH KANZ,58.00,147.00,50.00,414.00,484.00,105.00,,2.00
writeIns,5.00,13.00,5.00,16.00,26.00,8.00,5.00,
exhaust,208.00,417.00,92.00,992.00,1622.00,559.00,102.00,51.00
