,Calvin Louie,Isaac Wang,Jose Cisneros,Manuel B. Valle
first_choice,24.56,9.16,61.28,5.00
Calvin Louie,,44.50,24.21,25.20
Isaac Wang,36.75,,12.64,14.21
Jose Cisneros,24.24,22.81,,29.51
Manuel B. Valle,8.92,9.00,15.03,
exhaust,30.09,23.70,48.13,31.08
