,Charlie Walker,Dwayne Jusino,Espanola Jackson,Marie L. Harrison,Rodney Hampton Jr.,Sala Chandler,Sophie Maxwell
first_choice,3.36,12.03,10.35,8.14,8.35,1.93,55.84
Charlie Walker,,2.55,6.27,4.55,5.77,5.43,3.75
Dwayne Jusino,6.44,,12.41,4.97,9.20,13.04,9.10
Espanola Jackson,13.93,18.28,,20.24,13.96,19.20,11.77
Marie L. Harrison,9.56,10.04,12.27,,23.16,17.03,15.76
Rodney Hampton Jr.,14.14,11.32,13.28,15.78,,13.04,9.70
Sala Chandler,4.78,4.88,4.45,4.72,4.01,,2.59
Sophie Maxwell,19.13,23.27,24.01,25.47,22.49,15.94,
exhaust,32.02,29.66,27.31,24.27,21.40,16.30,47.33
