,Annie Young,Bob Fine,David Wahstedt,John Butler,John Erwin,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke,writeIns
first_choice,18.94,22.07,7.66,3.04,17.39,14.72,5.52,10.14,0.53
Annie Young,,13.25,6.70,10.23,31.78,19.52,18.58,13.83,3.61
Bob Fine,9.68,,10.51,8.89,6.87,11.48,7.21,13.00,2.58
David Wahstedt,2.58,3.40,,7.09,2.31,2.54,3.66,4.47,1.03
John Butler,2.16,3.45,6.45,,1.91,2.00,5.58,2.40,0.00
John Erwin,18.87,6.30,4.99,11.94,,19.08,4.55,20.88,2.06
Mary Merrill Anderson,14.82,12.50,4.49,6.55,16.44,,20.01,16.52,1.55
Nancy Bernard,11.44,5.33,3.92,8.71,1.60,5.80,,3.31,2.06
Tom Nordyke,10.42,9.00,6.34,6.19,21.71,11.94,4.05,,1.03
writeIns,0.27,0.27,0.68,0.18,0.08,0.13,0.05,0.11,
exhaust,29.75,46.50,55.93,40.22,17.31,27.51,36.31,25.48,86.08
