,CORINA LOPEZ,LEAH HALL,MIA OUSLEY
first_choice,7906.00,3486.00,3292.00
CORINA LOPEZ,,1126.00,1425.00
LEAH HALL,2316.00,,1077.00
MIA OUSLEY,3073.00,1372.00,
exhaust,2517.00,988.00,790.00
