,ELLEN LEE ZHOU,JOEL VENTRESCA,LONDON N. BREED,MARC ROTH,PAUL YBARRA ROBERTSON,"ROBERT L. JORDAN, JR.",WILMA PANG,writeIns
first_choice,25003.00,13277.00,126207.00,7.00,7647.00,2458.00,4961.00,1.00
ELLEN LEE ZHOU,,1806.00,16500.00,0.00,1745.00,301.00,1488.00,0.00
JOEL VENTRESCA,2449.00,,13629.00,3.00,1745.00,328.00,728.00,1.00
LONDON N. BREED,5086.00,3428.00,,1.00,1082.00,341.00,616.00,0.00
MARC ROTH,1.00,2.00,1.00,,0.00,0.00,1.00,0.00
PAUL YBARRA ROBERTSON,3741.00,1772.00,7984.00,0.00,,654.00,604.00,0.00
"ROBERT L. JORDAN, JR.",1029.00,662.00,4035.00,1.00,783.00,,553.00,0.00
WILMA PANG,5446.00,1788.00,6351.00,1.00,743.00,333.00,,0.00
writeIns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
exhaust,7251.00,3819.00,77707.00,1.00,1549.00,501.00,971.00,0.00
