,Jon Olson,Michael Guest,writeIns
first_choice,2874.00,2183.00,43.00
Jon Olson,,822.00,5.00
Michael Guest,930.00,,4.00
writeIns,17.00,24.00,
exhaust,1927.00,1337.00,34.00
