,Jon Olson,Michael Guest,writeIns
first_choice,56.35,42.80,0.84
Jon Olson,,37.65,11.63
Michael Guest,32.36,,9.30
writeIns,0.59,1.10,
exhaust,67.05,61.25,79.07
