,Barbara Gelman,Bernardo Tuma,Beverly Davidson,Dale Washam,Jan Shabro,Terry Lee,writeIns
first_choice,19.00,6.94,10.42,25.02,19.06,19.16,0.40
Barbara Gelman,,16.29,36.34,14.98,29.34,25.84,16.79
Bernardo Tuma,6.14,,10.84,11.02,12.21,13.66,11.68
Beverly Davidson,31.60,13.72,,8.55,11.60,9.74,17.52
Dale Washam,15.64,19.18,14.48,,22.34,23.11,21.90
Jan Shabro,25.91,25.85,19.32,27.15,,27.44,9.49
Terry Lee,20.49,24.68,18.78,37.93,24.22,,22.63
writeIns,0.21,0.29,0.24,0.38,0.30,0.21,
