,ADAM KIM,ARTHUR TOM,GORDON MAR,JESSICA HO,LOU ANN BASSAN,MIKE MURPHY,TREVOR MCNEIL,TUAN NGUYEN
first_choice,1.81,8.59,36.29,26.19,7.68,4.16,12.28,3.00
ADAM KIM,,3.71,3.97,7.42,2.87,14.30,2.90,6.59
ARTHUR TOM,16.07,,12.47,18.69,21.62,10.08,9.67,13.03
GORDON MAR,16.52,22.44,,32.30,13.93,19.14,31.01,24.74
JESSICA HO,25.00,22.34,31.69,,22.42,9.16,23.34,20.79
LOU ANN BASSAN,8.26,22.92,5.42,8.91,,16.15,9.90,8.05
MIKE MURPHY,11.38,6.11,16.07,3.90,15.39,,19.27,7.91
TREVOR MCNEIL,12.72,16.95,24.22,21.13,18.45,27.16,,18.89
TUAN NGUYEN,10.04,5.54,6.16,7.65,5.31,4.01,3.90,
