,Anthony Faber,Gerardo Sandoval,Phil Ting,Ronald Chun
first_choice,18.00,71850.00,94062.00,33294.00
Anthony Faber,,3.00,1.00,8.00
Gerardo Sandoval,4.00,,27290.00,7402.00
Phil Ting,2.00,33898.00,,15982.00
Ronald Chun,8.00,14038.00,33657.00,
exhaust,4.00,23911.00,33114.00,9902.00
