,JOHN ROBINSON,ROSS MIRKARIMI,VICKI HENNESSY
first_choice,5.94,33.07,61.00
JOHN ROBINSON,,12.25,30.67
ROSS MIRKARIMI,17.75,,16.45
VICKI HENNESSY,46.83,37.04,
exhaust,35.42,50.71,52.88
