,DESLEY BROOKS,LOREN TAYLOR,MARLO RODRIGUEZ,MYA WHITAKER,NATASHA MIDDLETON
first_choice,4429.00,7158.00,1591.00,2500.00,2167.00
DESLEY BROOKS,,793.00,148.00,404.00,159.00
LOREN TAYLOR,1005.00,,381.00,689.00,670.00
MARLO RODRIGUEZ,330.00,885.00,,496.00,329.00
MYA WHITAKER,1054.00,1440.00,383.00,,728.00
NATASHA MIDDLETON,487.00,2631.00,334.00,496.00,
exhaust,1553.00,1409.00,345.00,415.00,281.00
