,C01,C02,C03,C04,C05,C06
first_choice,1.22,26.68,38.95,31.77,0.58,0.80
C01,,15.54,5.87,4.24,17.31,10.00
C02,34.48,,21.11,25.66,17.31,27.14
C03,32.18,36.68,,65.93,34.62,41.43
C04,20.69,39.08,62.94,,30.77,17.14
C05,10.34,5.60,7.51,3.43,,4.29
C06,2.30,3.10,2.56,0.74,0.00,
