,Blong Yang,Cathy Spann,Jeremiah Ellison,Raeisha (RA) Williams,writeIns
first_choice,1617.00,159.00,1987.00,445.00,8.00
Blong Yang,,43.00,588.00,86.00,0.00
Cathy Spann,213.00,,204.00,51.00,0.00
Jeremiah Ellison,577.00,53.00,,220.00,1.00
Raeisha (RA) Williams,199.00,32.00,768.00,,0.00
writeIns,8.00,1.00,6.00,0.00,
exhaust,620.00,30.00,421.00,88.00,7.00
