,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Walser, Nancy",writeIns
first_choice,14.74,12.86,12.81,9.79,9.13,15.43,11.91,12.95,0.37
"Fantini, Alfred B.",,61.43,14.49,6.84,8.97,5.32,4.73,12.29,5.26
"Grassi, Joseph G.",60.46,,24.24,4.46,4.65,3.83,3.48,6.06,0.00
"Harding, Richard, Jr.",8.96,15.97,,10.93,12.74,5.60,11.20,7.75,21.05
"Lummis, Ben",5.36,3.98,14.22,,17.63,11.62,16.80,22.36,0.00
"McGovern, Marc C.",8.48,5.37,12.39,18.29,,17.51,14.87,15.90,10.53
"Nolan, Patricia M.",6.87,4.73,8.94,15.24,21.07,,28.62,24.64,36.84
"Schuster, Luc",3.06,2.59,11.85,12.86,12.18,35.76,,10.89,0.00
"Walser, Nancy",6.55,5.56,13.27,31.15,22.76,20.21,20.04,,26.32
writeIns,0.27,0.38,0.61,0.22,0.00,0.14,0.25,0.12,
