,ABEL GUILLÉN,KENZIE DONTE SMITH,NIKKI FORTUNATO BAS
first_choice,39.67,6.43,53.90
ABEL GUILLÉN,,22.61,40.53
KENZIE DONTE SMITH,13.54,,30.55
NIKKI FORTUNATO BAS,47.28,49.59,
exhaust,39.18,27.80,28.92
