,Carol Kummer,Dan W. Peterson,Jason Stone,McClain Looney,Steve Barland,writeIns
first_choice,37.77,4.70,35.52,1.92,19.64,0.45
Carol Kummer,,21.68,27.58,19.21,32.12,2.86
Dan W. Peterson,6.88,,2.80,14.57,5.26,0.00
Jason Stone,16.67,16.26,,15.89,20.96,5.71
McClain Looney,4.01,4.88,2.01,,2.21,0.00
Steve Barland,25.78,13.28,23.13,9.93,,0.00
writeIns,0.20,0.27,0.29,1.99,0.19,
exhaust,46.46,43.63,44.19,38.41,39.26,91.43
