,Brent Perry,Charley Underwood,Rick L. Nyhlen,Sandy Colvin Roy,writeIns
first_choice,130.00,663.00,880.00,3035.00,10.00
Brent Perry,,79.00,42.00,145.00,1.00
Charley Underwood,41.00,,209.00,962.00,0.00
Rick L. Nyhlen,26.00,142.00,,227.00,1.00
Sandy Colvin Roy,49.00,280.00,129.00,,1.00
writeIns,1.00,0.00,10.00,12.00,
exhaust,13.00,162.00,490.00,1689.00,7.00
