,CHARLIE MICHELSON,JOSEPH E. SIMMONS,JOSEPH TANIOS,MATT HUMMEL,NAYELI MAXSON,PAM HARRIS,SHENG THAO
first_choice,11.04,3.70,2.77,4.53,16.20,27.06,34.70
CHARLIE MICHELSON,,7.69,15.71,14.41,8.41,8.27,6.32
JOSEPH E. SIMMONS,7.89,,8.95,6.18,2.74,10.65,2.72
JOSEPH TANIOS,6.64,7.55,,9.97,4.54,3.47,3.02
MATT HUMMEL,9.58,6.98,13.12,,5.78,7.06,4.25
NAYELI MAXSON,20.50,11.82,22.47,13.22,,33.45,38.83
PAM HARRIS,22.04,47.44,18.89,38.89,39.82,,44.86
SHENG THAO,33.35,18.52,20.87,17.33,38.70,37.10,
