,BRAD BOURN,JOSH NEIMAN,writeIns
first_choice,64.80,34.76,0.44
BRAD BOURN,,50.20,22.95
JOSH NEIMAN,43.57,,14.75
writeIns,0.70,0.75,
exhaust,55.73,49.05,62.30
