,Alix Amelia Rosenthal,Bevan Dufty,Starchild,writeIns
first_choice,9251.00,20924.00,1537.00,3.00
Alix Amelia Rosenthal,,8183.00,545.00,1.00
Bevan Dufty,4056.00,,402.00,0.00
Starchild,1829.00,2080.00,,0.00
writeIns,0.00,0.00,0.00,
exhaust,3366.00,10661.00,590.00,2.00
