,CHRIS CUNNIE,DAVID WONG,PAUL MIYAMOTO,ROSS MIRKARIMI
first_choice,28.16,6.20,27.19,38.45
CHRIS CUNNIE,,14.18,34.16,23.21
DAVID WONG,5.69,,12.77,4.97
PAUL MIYAMOTO,35.64,39.93,,22.33
ROSS MIRKARIMI,24.86,17.76,23.83,
exhaust,33.81,28.13,29.24,49.49
