,BENJAMIN LANG,JUMOKE HINTON HODGE,KHARYSHI ''MS. K'' WIGINTON,LUCKY NARAIN,MISTY CROSS
first_choice,19.65,39.84,33.11,7.23,0.17
BENJAMIN LANG,,27.93,41.64,36.14,5.13
JUMOKE HINTON HODGE,27.40,,28.84,19.62,15.38
KHARYSHI ''MS. K'' WIGINTON,37.96,32.63,,17.45,17.95
LUCKY NARAIN,11.84,6.36,3.78,,0.00
MISTY CROSS,0.00,0.02,0.12,0.00,
exhaust,22.80,33.06,25.62,26.79,61.54
