,ANNIE YOUNG,CASPER HILL,HASHIM YONIS,ISHMAEL ISRAEL,JASON STONE,JOHN ERWIN,MARY LYNN MCPHERSON,MEG FORNEY,STEVE BARLAND,TOM NORDYKE,writeIns
first_choice,9294.00,1280.00,3762.00,3305.00,5357.00,14678.00,3373.00,7856.00,3705.00,6511.00,342.00
ANNIE YOUNG,,150.00,217.00,499.00,967.00,3653.00,832.00,1502.00,315.00,425.00,8.00
CASPER HILL,193.00,,37.00,131.00,155.00,306.00,94.00,159.00,136.00,84.00,4.00
HASHIM YONIS,251.00,32.00,,494.00,86.00,184.00,91.00,157.00,39.00,52.00,5.00
ISHMAEL ISRAEL,566.00,63.00,476.00,,282.00,495.00,120.00,292.00,126.00,112.00,5.00
JASON STONE,1086.00,113.00,72.00,270.00,,2171.00,207.00,366.00,285.00,390.00,7.00
JOHN ERWIN,1551.00,182.00,117.00,270.00,1381.00,,183.00,744.00,435.00,3173.00,6.00
MARY LYNN MCPHERSON,814.00,100.00,98.00,179.00,157.00,340.00,,1138.00,215.00,190.00,5.00
MEG FORNEY,1699.00,166.00,116.00,335.00,441.00,971.00,616.00,,468.00,622.00,8.00
STEVE BARLAND,289.00,95.00,41.00,77.00,294.00,399.00,159.00,315.00,,338.00,2.00
TOM NORDYKE,595.00,81.00,62.00,122.00,550.00,4083.00,178.00,603.00,357.00,,3.00
writeIns,19.00,5.00,6.00,17.00,11.00,14.00,6.00,14.00,18.00,8.00,
exhaust,2231.00,293.00,2520.00,911.00,1033.00,2062.00,887.00,2566.00,1311.00,1117.00,289.00
