,Andrea Jenkins,April Kane,David Holsinger,Terry White,writeIns
first_choice,73.01,9.07,4.94,12.78,0.22
Andrea Jenkins,,87.28,25.29,62.75,40.00
April Kane,53.89,,18.29,21.69,0.00
David Holsinger,2.33,4.24,,15.32,40.00
Terry White,43.03,8.32,51.75,,20.00
writeIns,0.75,0.16,4.67,0.25,
