,CHESA BOUDIN,LEIF DAUTCH,NANCY TUNG,SUZY LOFTUS,writeIns
first_choice,68805.00,27031.00,37353.00,60007.00,1.00
CHESA BOUDIN,,4745.00,5457.00,10611.00,0.00
LEIF DAUTCH,12497.00,,11964.00,11840.00,0.00
NANCY TUNG,8132.00,9277.00,,11548.00,0.00
SUZY LOFTUS,14887.00,6501.00,8476.00,,0.00
writeIns,2.00,0.00,0.00,1.00,
exhaust,33287.00,6508.00,11456.00,26007.00,1.00
