,Andy Exley,Bruce Lundeen,Laura Jean,M. Cali,Michael Tupper,Robert Lilligren,writeIns
first_choice,8.55,3.11,11.97,8.19,15.13,52.85,0.21
Andy Exley,,41.18,27.37,25.93,25.37,19.33,0.00
Bruce Lundeen,9.59,,9.50,12.35,13.17,11.76,0.00
Laura Jean,29.45,9.80,,11.11,20.49,36.47,0.00
M. Cali,15.07,3.92,7.82,,8.29,11.60,0.00
Michael Tupper,17.12,21.57,18.44,24.69,,20.50,50.00
Robert Lilligren,28.77,23.53,36.87,25.93,30.24,,50.00
writeIns,0.00,0.00,0.00,0.00,2.44,0.34,
