,BRYAN PARKER,CHARLES R. WILLIAMS,COURTNEY RUBY,DAN SIEGEL,ERIC WILSON,JASON ANDERSON,JEAN QUAN,JOE TUMAN,KEN HOUSTON,LIBBY SCHAAF,NANCY SIDEBOTHAM,PAT MCCULLOUGH,PETER LIU,REBECCA KAPLAN,SAIED KARAMOOZ,SAMMUEL WASHINGTON
first_choice,7.81,1.03,3.06,12.88,0.39,1.52,15.52,12.02,0.51,29.48,0.26,0.36,0.46,14.42,0.26,0.03
BRYAN PARKER,,6.12,8.08,6.96,3.67,2.03,8.86,13.85,12.53,9.84,8.11,11.40,9.31,8.22,3.43,16.67
CHARLES R. WILLIAMS,2.90,,1.57,1.43,12.54,1.96,2.10,0.69,4.18,0.36,4.50,9.45,4.79,2.26,1.29,5.56
COURTNEY RUBY,4.88,5.12,,3.55,4.28,1.76,4.20,11.67,3.19,8.48,13.96,6.51,10.64,5.47,6.87,0.00
DAN SIEGEL,12.97,22.38,8.47,,18.65,19.50,15.81,9.47,9.34,11.94,7.21,8.47,11.17,20.68,26.61,16.67
ERIC WILSON,1.34,6.88,0.92,1.91,,1.69,1.20,0.46,5.90,0.28,6.31,3.91,3.99,1.37,2.58,0.00
JASON ANDERSON,1.07,9.00,1.10,4.80,4.28,,0.94,0.62,3.69,0.47,1.35,7.49,0.80,1.88,10.73,5.56
JEAN QUAN,9.56,10.75,5.73,14.89,8.56,3.05,,4.72,8.35,13.68,8.56,6.51,17.55,14.17,6.87,16.67
JOE TUMAN,19.36,5.12,26.11,9.93,6.73,2.23,8.34,,9.09,30.82,6.31,8.14,9.31,9.64,6.87,0.00
KEN HOUSTON,1.68,2.62,0.46,0.67,3.98,1.22,0.80,0.73,,0.35,5.86,4.23,3.46,1.04,2.15,0.00
LIBBY SCHAAF,25.35,4.50,32.37,22.44,4.28,4.87,25.69,44.13,7.86,,9.91,7.17,8.24,32.05,11.59,0.00
NANCY SIDEBOTHAM,0.43,1.38,1.85,0.51,3.98,0.27,0.61,0.52,2.70,0.29,,5.54,2.13,1.03,1.72,0.00
PAT MCCULLOUGH,1.22,4.25,1.17,0.79,2.75,1.76,0.82,0.72,2.70,0.30,4.50,,5.32,0.78,4.29,5.56
PETER LIU,0.76,2.50,1.07,0.57,5.50,0.54,3.93,1.03,1.23,0.42,3.60,4.89,,0.93,6.01,5.56
REBECCA KAPLAN,18.00,17.38,10.14,29.74,19.27,9.28,26.23,10.88,27.52,22.39,18.02,13.68,7.45,,9.01,22.22
SAIED KARAMOOZ,0.46,2.00,0.96,1.78,1.53,49.83,0.43,0.47,1.72,0.36,1.80,2.28,5.59,0.47,,5.56
SAMMUEL WASHINGTON,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.03,0.00,0.02,0.00,0.33,0.27,0.02,0.00,
