,AMY LEMLEY,CRAIG BRANDT,DAN KALB,DONALD MACLEAY,GORDON ''DON'' LINK,LEN RAPHAEL,RICHARD RAYA,writeIns
first_choice,7255.00,1386.00,8259.00,1858.00,2152.00,1905.00,5737.00,107.00
AMY LEMLEY,,252.00,2706.00,199.00,383.00,293.00,2085.00,4.00
CRAIG BRANDT,462.00,,256.00,688.00,295.00,259.00,250.00,0.00
DAN KALB,2482.00,141.00,,371.00,308.00,294.00,1398.00,0.00
DONALD MACLEAY,226.00,75.00,436.00,,135.00,147.00,190.00,4.00
GORDON ''DON'' LINK,464.00,230.00,473.00,112.00,,221.00,421.00,0.00
LEN RAPHAEL,417.00,258.00,411.00,95.00,189.00,,396.00,2.00
RICHARD RAYA,1496.00,200.00,1590.00,164.00,426.00,357.00,,0.00
writeIns,22.00,2.00,30.00,7.00,11.00,13.00,11.00,
exhaust,1686.00,228.00,2357.00,222.00,405.00,321.00,986.00,97.00
