,Betsy Hodges,Joseph Henry,Kris Broberg,writeIns
first_choice,4141.00,256.00,1578.00,6.00
Betsy Hodges,,125.00,274.00,0.00
Joseph Henry,1139.00,,361.00,2.00
Kris Broberg,545.00,62.00,,1.00
writeIns,16.00,2.00,27.00,
exhaust,2441.00,67.00,916.00,3.00
